user_id,age,age_group,engagement_level,spending_type,dream_traveler,travel_frequency,avg_days_between_booking,trip_type,trip_frequency_score,days_since_signup,gender,married,has_children,home_country,home_city,home_airport,home_airport_lat,home_airport_lon,total_sessions,sessions_per_week,total_page_clicks,avg_session_duration,avg_clicks_per_session,pct_sessions_flight_discount_used,pct_sessions_hotel_discount_used,pct_sessions_flight_booked,pct_sessions_hotel_booked,cancel_rate,first_trip_date,last_trip_date,total_trips,avg_days_between_trips,total_distance,avg_distance,total_price_paid,avg_price_paid,departure_flights,return_flights,total_flights,pct_return_flights_booked,total_flight_cost,avg_flight_costs,avg_fligth_cost_before_discount,avg_flight_discount,unique_cities_visited,total_hotel_cost,avg_hotel_cost,avg_hotel_cost_before_discount,avg_hotel_disocunt,avg_checked_bags_per_trip,avg_nights_per_stay,avg_rooms_per_booking,avg_hotel_spend_per_night,kmean_groups,dbscan_groups
94883,53,45-59,medium engagement,economy traveler,traveler,occasional traveler,6.5,business trip,2,332,F,True,False,usa,kansas city,MCI,39.297,-94.714,8,0.17,73,67.75,9.125,0.0,12.5,25.0,25.0,0.0,2023-03-27 07:00:00,2023-04-16 10:00:00,2,20.0,2902.670807403888,1451.335403701944,1094.09,547.045,2,2,4,100.0,864.09,432.045,0.0,0.0,2,230.0,115.0,0.0,0.0,0.5,1.0,1.5,76.66666666666666,3,0
101486,52,45-59,medium engagement,luxury traveler,traveler,occasional traveler,7.5,family trip,2,322,F,True,True,usa,tacoma,TCM,47.138,-122.476,8,0.17,131,122.25,16.375,25.0,0.0,12.5,25.0,0.0,2023-06-10 10:00:00,2023-06-10 10:00:00,2,0.0,995.681599782712,995.681599782712,2641.91,1320.955,1,1,2,50.0,189.91,94.955,0.0,0.0,1,2452.0,1226.0,0.0,0.0,0.0,4.5,1.5,175.14285714285714,0,0
101961,44,30-44,medium engagement,premium traveler,traveler,regular traveler,5.8,business trip,3,322,F,True,False,usa,boston,BOS,42.364,-71.005,8,0.17,126,117.75,15.75,25.0,12.5,62.5,62.5,0.0,2023-02-08 07:00:00,2023-06-27 11:00:00,5,34.75,6832.845483274227,1366.5690966548457,4040.66,808.132,5,5,10,100.0,1242.66,248.532,9.914,0.02,5,2798.0,559.6,0.0,0.0,0.4,4.4,1.0,127.18181818181819,1,0
118043,53,45-59,medium engagement,luxury traveler,traveler,regular traveler,8.2,parent trip,3,301,F,False,True,usa,los angeles,LAX,33.942,-118.408,8,0.19,164,153.125,20.5,25.0,37.5,37.5,50.0,0.0,2023-03-05 07:00:00,2023-07-01 14:00:00,5,29.5,7515.495499221523,2505.165166407174,8782.74,1901.77,3,3,6,60.0,2339.29,467.858,0.0,0.0,3,6443.45,1327.6,55.14,0.06,1.0,6.0,1.25,247.825,1,0
125845,41,30-44,medium engagement,economy traveler,traveler,occasional traveler,9.0,couple trip,2,292,F,True,False,usa,el paso,BIF,31.849,-106.38,9,0.22,159,131.77777777777777,17.666666666666664,11.111111111111112,11.111111111111112,33.33333333333333,33.33333333333333,0.0,2023-02-12 07:00:00,2023-06-13 15:00:00,3,60.5,8584.557386162262,2861.519128720754,2617.32,872.44,3,3,6,100.0,1753.32,584.44,236.7433333333333,0.05,3,864.0,288.0,0.0,0.0,0.6666666666666666,2.333333333333333,1.3333333333333333,108.0,3,0
133058,20,18-29,medium engagement,luxury traveler,traveler,one time traveler,6.0,business trip,1,284,F,False,False,usa,austin,AUS,30.194,-97.67,8,0.2,73,68.125,9.125,0.0,12.5,12.5,0.0,0.0,2023-04-02 14:00:00,2023-04-02 14:00:00,1,0.0,2887.178515652686,2887.178515652686,423.51,0.0,1,1,2,100.0,423.51,423.51,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,0
152583,38,30-44,medium engagement,premium traveler,traveler,one time traveler,8.0,solo or group trip,1,263,F,False,False,usa,colorado springs,COS,38.806,-104.7,8,0.21,149,139.0,18.625,12.5,12.5,12.5,12.5,0.0,2023-06-14 14:00:00,2023-06-14 14:00:00,1,0.0,2265.716295635522,2265.716295635522,1006.83,1006.83,1,1,2,100.0,367.83,367.83,0.0,0.0,1,639.0,639.0,0.0,0.0,2.0,3.0,1.0,213.0,4,0
153982,46,45-59,medium engagement,premium traveler,traveler,occasional traveler,8.666666666666666,parent trip,2,261,F,False,True,canada,toronto,YKZ,43.862,-79.37,8,0.21,150,138.5,18.75,0.0,12.5,37.5,37.5,0.0,2023-02-24 12:00:00,2023-07-31 11:00:00,3,78.0,4030.875580687489,1343.6251935624964,1958.87,652.9566666666666,3,3,6,100.0,656.87,218.95666666666665,0.0,0.0,3,1302.0,434.0,0.0,0.0,0.3333333333333333,2.333333333333333,1.0,186.0,3,0
160754,47,45-59,medium engagement,premium traveler,traveler,one time traveler,11.0,family trip,1,254,F,True,True,usa,new york,LGA,40.777,-73.872,8,0.22,86,80.875,10.75,0.0,0.0,12.5,12.5,0.0,2023-07-08 14:00:00,2023-07-08 14:00:00,1,0.0,527.63183389388,527.63183389388,735.62,735.62,1,1,2,100.0,93.62,93.62,0.0,0.0,1,642.0,642.0,0.0,0.0,1.0,3.0,1.0,214.0,0,0
164522,49,45-59,medium engagement,luxury traveler,traveler,one time traveler,9.0,couple trip,1,250,F,True,False,usa,kansas city,MCI,39.297,-94.714,8,0.22,89,83.375,11.125,25.0,12.5,12.5,12.5,0.0,2023-02-17 15:00:00,2023-02-17 15:00:00,1,0.0,1807.646503324766,1807.646503324766,3590.32,3590.32,1,1,2,100.0,328.32,328.32,328.27,0.05,1,3262.0,3262.0,0.0,0.0,1.0,14.0,1.0,233.0,2,0
