"user_id","age","age_group","engagement_level","spending_type","dream_traveler","travel_frequency","avg_days_between_booking","trip_type","trip_frequency_score","days_since_signup","gender","married","has_children","home_country","home_city","home_airport","home_airport_lat","home_airport_lon","total_sessions","sessions_per_week","total_page_clicks","avg_session_duration","avg_clicks_per_session","pct_sessions_flight_discount_used","pct_sessions_hotel_discount_used","pct_sessions_flight_booked","pct_sessions_hotel_booked","cancel_rate","first_trip_date","last_trip_date","total_trips","avg_days_between_trips","total_distance","avg_distance","total_price_paid","avg_price_paid","departure_flights","return_flights","total_flights","pct_return_flights_booked","total_flight_cost","avg_flight_costs","avg_fligth_cost_before_discount","avg_flight_discount","unique_cities_visited","total_hotel_cost","avg_hotel_cost","avg_hotel_cost_before_discount","avg_hotel_disocunt","avg_checked_bags_per_trip","avg_nights_per_stay","avg_rooms_per_booking","avg_hotel_spend_per_night"
"94883","53","45-59","medium engagement","economy traveler","traveler","occasional traveler","6.5","business trip","2","332","F","true","false","usa","kansas city","MCI","39.297","-94.714","8","0.17","73","67.7500000000000000","9.1250000000000000","0.00000000000000000000","12.5000000000000000","25.0000000000000000","25.0000000000000000","0.00000000000000000000","2023-03-27 07:00:00","2023-04-16 10:00:00","2","20","2902.670807403888","1451.335403701944","1094.09","547.0450000000000000","2","2","4","100.0000000000000000","864.09","432.0450000000000000","0.00000000000000000000","0.00000000000000000000","2","230","115.0000000000000000","0.00000000000000000000","0.00000000000000000000","0.50000000000000000000","1.00000000000000000000","1.5000000000000000","76.6666666666666667"
"101486","52","45-59","medium engagement","luxury traveler","traveler","occasional traveler","7.5","family trip","2","322","F","true","true","usa","tacoma","TCM","47.138","-122.476","8","0.17","131","122.2500000000000000","16.3750000000000000","25.0000000000000000","0.00000000000000000000","12.5000000000000000","25.0000000000000000","0.00000000000000000000","2023-06-10 10:00:00","2023-06-10 10:00:00","2","0","995.681599782712","995.681599782712","2641.91","1320.9550000000000000","1","1","2","50.0000000000000000","189.91","94.9550000000000000","0.00000000000000000000","0.00000000000000000000","1","2452","1226.0000000000000000","0.00000000000000000000","0.00000000000000000000","0.00000000000000000000","4.5000000000000000","1.5000000000000000","175.1428571428571429"
"101961","44","30-44","medium engagement","premium traveler","traveler","regular traveler","5.8","business trip","3","322","F","true","false","usa","boston","BOS","42.364","-71.005","8","0.17","126","117.7500000000000000","15.7500000000000000","25.0000000000000000","12.5000000000000000","62.5000000000000000","62.5000000000000000","0.00000000000000000000","2023-02-08 07:00:00","2023-06-27 11:00:00","5","34.75","6832.845483274227","1366.5690966548455","4040.66","808.1320000000000000","5","5","10","100.0000000000000000","1242.66","248.5320000000000000","9.9140000000000000","0.02000000000000000000","5","2798","559.6000000000000000","0.00000000000000000000","0.00000000000000000000","0.40000000000000000000","4.4000000000000000","1.00000000000000000000","127.1818181818181818"
"118043","53","45-59","medium engagement","luxury traveler","traveler","regular traveler","8.2","parent trip","3","301","F","false","true","usa","los angeles","LAX","33.942","-118.408","8","0.19","164","153.1250000000000000","20.5000000000000000","25.0000000000000000","37.5000000000000000","37.5000000000000000","50.0000000000000000","0.00000000000000000000","2023-03-05 07:00:00","2023-07-01 14:00:00","5","29.5","7515.495499221523","2505.165166407174","8782.74","1901.7700000000000000","3","3","6","60.0000000000000000","2339.29","467.8580000000000000","0.00000000000000000000","0.00000000000000000000","3","6443.45","1327.6000000000000000","55.1400000000000000","0.06000000000000000000","1.00000000000000000000","6.0000000000000000","1.2500000000000000","247.8250000000000000"
"125845","41","30-44","medium engagement","economy traveler","traveler","occasional traveler","9","couple trip","2","292","F","true","false","usa","el paso","BIF","31.849","-106.38","9","0.22","159","131.7777777777777778","17.6666666666666667","11.1111111111111111","11.1111111111111111","33.3333333333333333","33.3333333333333333","0.00000000000000000000","2023-02-12 07:00:00","2023-06-13 15:00:00","3","60.5","8584.557386162262","2861.519128720754","2617.32","872.4400000000000000","3","3","6","100.0000000000000000","1753.32","584.4400000000000000","236.7433333333333333","0.05000000000000000000","3","864","288.0000000000000000","0.00000000000000000000","0.00000000000000000000","0.66666666666666666667","2.3333333333333333","1.3333333333333333","108.0000000000000000"
"133058","20","18-29","medium engagement","luxury traveler","traveler","one time traveler","6","business trip","1","284","F","false","false","usa","austin","AUS","30.194","-97.67","8","0.20","73","68.1250000000000000","9.1250000000000000","0.00000000000000000000","12.5000000000000000","12.5000000000000000","0.00000000000000000000","0.00000000000000000000","2023-04-02 14:00:00","2023-04-02 14:00:00","1","0","2887.178515652686","2887.178515652686","423.51","0","1","1","2","100.0000000000000000","423.51","423.5100000000000000","0.00000000000000000000","0.00000000000000000000","1","0","0.00000000000000000000","0.00000000000000000000","0.00000000000000000000","0.00000000000000000000","0","0","0"
"152583","38","30-44","medium engagement","premium traveler","traveler","one time traveler","8","solo or group trip","1","263","F","false","false","usa","colorado springs","COS","38.806","-104.7","8","0.21","149","139.0000000000000000","18.6250000000000000","12.5000000000000000","12.5000000000000000","12.5000000000000000","12.5000000000000000","0.00000000000000000000","2023-06-14 14:00:00","2023-06-14 14:00:00","1","0","2265.716295635522","2265.716295635522","1006.83","1006.8300000000000000","1","1","2","100.0000000000000000","367.83","367.8300000000000000","0.00000000000000000000","0.00000000000000000000","1","639","639.0000000000000000","0.00000000000000000000","0.00000000000000000000","2.0000000000000000","3.0000000000000000","1.00000000000000000000","213.0000000000000000"
"153982","46","45-59","medium engagement","premium traveler","traveler","occasional traveler","8.666666666666666","parent trip","2","261","F","false","true","canada","toronto","YKZ","43.862","-79.37","8","0.21","150","138.5000000000000000","18.7500000000000000","0.00000000000000000000","12.5000000000000000","37.5000000000000000","37.5000000000000000","0.00000000000000000000","2023-02-24 12:00:00","2023-07-31 11:00:00","3","78","4030.875580687489","1343.6251935624964","1958.87","652.9566666666666667","3","3","6","100.0000000000000000","656.87","218.9566666666666667","0.00000000000000000000","0.00000000000000000000","3","1302","434.0000000000000000","0.00000000000000000000","0.00000000000000000000","0.33333333333333333333","2.3333333333333333","1.00000000000000000000","186.0000000000000000"
"160754","47","45-59","medium engagement","premium traveler","traveler","one time traveler","11","family trip","1","254","F","true","true","usa","new york","LGA","40.777","-73.872","8","0.22","86","80.8750000000000000","10.7500000000000000","0.00000000000000000000","0.00000000000000000000","12.5000000000000000","12.5000000000000000","0.00000000000000000000","2023-07-08 14:00:00","2023-07-08 14:00:00","1","0","527.63183389388","527.63183389388","735.62","735.6200000000000000","1","1","2","100.0000000000000000","93.62","93.6200000000000000","0.00000000000000000000","0.00000000000000000000","1","642","642.0000000000000000","0.00000000000000000000","0.00000000000000000000","1.00000000000000000000","3.0000000000000000","1.00000000000000000000","214.0000000000000000"
"164522","49","45-59","medium engagement","luxury traveler","traveler","one time traveler","9","couple trip","1","250","F","true","false","usa","kansas city","MCI","39.297","-94.714","8","0.22","89","83.3750000000000000","11.1250000000000000","25.0000000000000000","12.5000000000000000","12.5000000000000000","12.5000000000000000","0.00000000000000000000","2023-02-17 15:00:00","2023-02-17 15:00:00","1","0","1807.646503324766","1807.646503324766","3590.32","3590.3200000000000000","1","1","2","100.0000000000000000","328.32","328.3200000000000000","328.2700000000000000","0.05000000000000000000","1","3262","3262.0000000000000000","0.00000000000000000000","0.00000000000000000000","1.00000000000000000000","14.0000000000000000","1.00000000000000000000","233.0000000000000000"
